2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0
736404,343504,280003,78943,53712,41859,38329,34795,34363,34303,32814,31907,29696,29226,27697,25241,25014,22945,21722,20911,20456,20300,18403,15302,14852,14354,13219,12746,13206,13230,12393,12472,12131,12252,12683,12321,12038,11009,10470,10780,11595,12920,13523,13260,11678,11020,11233,11093,10854,11639,11424,10867,10712,10783,10586,9708,9629,10741,9926,9668,9305,6528,6205,5633,6293,5454,5516,5411,5407,5240,4922,5299,5000,4424,4440,4292,4237,4126,4089,4410,3781,3506,3722,3634,3411,3233,3033,2910,3088,3642,3688,3713,3762,3112,2558,2288,2151,1838,1443,1323,842,556,403,270,284,210,147,98,60,47,34,15
735083,343329,280171,79612,53761,41767,38103,34617,34357,34277,32893,31776,29594,29533,27745,25135,25063,23020,21774,21237,20636,20225,18185,15506,14753,14119,13246,12686,13665,13032,12560,12388,12322,11978,12719,12308,11964,10761,10398,11060,11669,12857,13815,13342,11478,10693,11493,11015,10875,11796,11409,10576,10614,10647,10474,9909,9706,10710,10313,9701,9162,6732,6002,5690,6282,5337,5429,5481,5325,5193,4839,5331,4975,4700,4404,4419,4331,4051,4134,4403,3790,3510,3824,3722,3327,3346,3226,2916,3081,3511,3675,3723,3820,3027,2518,2318,2104,1857,1532,1306,859,628,419,315,289,190,142,110,57,31,33,21
736640,343338,279178,78678,53246,41945,38173,34865,34639,34424,32813,31846,30093,29663,27547,25656,25119,23158,21520,21180,20040,20103,17984,15365,14744,14171,13143,12890,13463,13094,12367,12420,12189,12315,12655,12509,11876,10991,10622,10802,11588,13045,13782,13239,11485,10856,11449,11115,10820,11486,11467,10478,10634,10888,10502,9895,9832,10697,10050,9594,9375,6458,6273,5612,6429,5495,5414,5432,5499,5260,4997,5294,5071,4564,4350,4241,4404,3988,4171,4370,3680,3485,3725,3708,3551,3215,3046,2884,3169,3594,3643,3723,3865,3055,2473,2283,2066,1859,1522,1356,846,592,387,268,274,179,136,112,66,35,22,15
735115,343320,280266,79261,53601,42106,38287,34255,34450,34459,32496,32120,29752,29646,27754,25507,25010,22746,21386,20865,20443,20295,18162,15329,14874,14143,13198,12906,13510,13093,12474,12579,12222,12387,12861,12472,11928,10855,10670,11066,11668,13029,13884,13186,11497,10942,11331,11061,10724,11609,11541,10825,10535,10949,10347,9699,9565,10482,9997,9547,9464,6740,6087,5631,6273,5468,5682,5384,5445,5247,4913,5330,4889,4557,4499,4262,4314,4183,4137,4376,3654,3414,3633,3741,3467,3284,3136,2855,3151,3684,3772,3717,3795,2915,2501,2344,2058,1885,1422,1238,869,544,433,323,310,192,143,107,51,46,31,14
737137,343395,280395,78540,53740,41666,38345,34475,34195,34386,32605,32223,29914,29468,27793,25000,25203,22928,21573,21063,20464,20375,17962,15329,14675,14297,13149,12999,13361,13116,12400,12557,11949,12205,12718,12529,12033,10938,10449,11037,11566,12914,13730,13301,11468,10666,11407,11225,10745,11454,11422,10754,10587,10764,10423,9586,9688,10598,10064,9625,9052,6662,6228,5621,6209,5474,5453,5538,5310,5323,4909,5258,4886,4480,4407,4268,4258,3968,4169,4391,3859,3625,3650,3793,3584,3289,3040,2986,3168,3595,3792,3705,3794,3055,2472,2290,2048,1827,1525,1277,872,601,456,300,260,185,161,107,51,37,31,25
736628,342946,279817,79039,53815,41662,38056,34208,34485,34492,32380,31869,29984,29553,27509,25173,25276,22784,21524,20918,20269,20215,18114,15203,14783,14308,13311,13027,13261,13187,12467,12525,12323,12219,12706,12428,12068,10760,10369,10974,11818,12927,13820,13474,11483,10905,11392,11190,10881,11541,11346,10436,10647,11010,10573,9737,9803,10713,10166,9720,9403,6646,6238,5619,6148,5459,5456,5339,5448,5267,4940,5402,4799,4556,4364,4403,4308,4109,4159,4318,3698,3550,3684,3667,3372,3300,3073,2947,3161,3669,3824,3707,3800,3053,2548,2291,2156,1843,1561,1298,906,604,433,283,274,195,140,106,56,46,29,25
735657,343686,281241,78843,53678,42177,37973,34195,34391,34260,32382,32311,29701,29429,27429,25237,25141,22733,21433,20799,20456,20110,18254,15205,14702,14257,13184,12845,13425,13240,12545,12300,12161,12157,12688,12370,12169,10864,10594,10816,11647,12870,13904,13297,11542,10994,11495,11131,10846,11459,11269,10629,10757,10840,10408,9720,9988,10577,10104,9523,9209,6581,6309,5706,6390,5552,5607,5374,5388,5319,4976,5337,4956,4409,4318,4428,4366,4056,4119,4549,3753,3467,3693,3641,3510,3351,3151,2793,2991,3632,3804,3612,3804,3014,2636,2196,2196,1852,1485,1257,827,580,426,303,304,196,152,106,83,35,37,23
733986,343360,280532,79614,53193,42049,38360,34675,34544,34466,32518,31707,29998,29622,28094,25576,24890,22782,21413,21217,20202,20293,18236,15390,14937,14238,13300,12923,13160,13115,12425,12338,12018,12049,12626,12425,12197,10687,10650,10967,11681,12963,13755,13346,11427,10858,11629,11267,10757,11621,11416,10606,10820,10872,10351,9774,9914,10878,10093,9768,9091,6550,6036,5639,6231,5504,5602,5383,5475,5141,4852,5471,4881,4515,4390,4418,4447,4080,4158,4345,3664,3406,3745,3750,3465,3300,3122,3025,3110,3599,3737,3667,3737,3054,2565,2241,2081,1969,1520,1300,920,632,416,300,284,141,108,106,73,28,35,20
735330,342831,280375,79409,53432,42043,38090,34282,34225,34255,32837,32090,29992,29478,27601,25556,24926,23028,21520,21046,20217,20243,18291,15118,14837,14280,13415,12930,13446,12927,12533,12535,12075,12239,12757,12406,12003,10906,10486,10994,11713,13064,13633,13270,11349,10849,11268,11269,10777,11630,11543,10675,10733,10783,10514,9807,9831,10730,10071,9612,9289,6670,6319,5571,6215,5480,5692,5381,5531,5164,4902,5367,4954,4471,4342,4294,4308,4036,4133,4505,3689,3445,3759,3831,3399,3288,3159,2972,3029,3569,3701,3698,3866,3110,2528,2275,2084,1937,1496,1254,906,620,430,296,252,184,138,99,80,29,28,17
736334,343751,280243,79313,53286,41905,38199,34233,34357,34145,32486,31971,29813,29385,27458,25196,25026,22992,21348,20950,20789,20029,18062,15536,14686,14112,13072,12752,13421,13256,12578,12386,12146,12297,12802,12524,12029,11003,10462,11063,11634,13059,13679,13415,11503,10723,11475,11291,10631,11568,11316,10603,10574,10767,10487,9820,9827,10542,10028,9658,9218,6627,6349,5537,6379,5511,5475,5483,5367,5426,4903,5421,4937,4404,4445,4330,4344,4076,4119,4530,3681,3470,3646,3757,3441,3309,3167,2892,3215,3616,3599,3701,3882,3189,2442,2302,2071,1840,1505,1285,826,600,429,286,280,221,116,95,66,37,30,24
735146,344159,280178,78993,53511,42111,38066,34384,34282,34853,32822,31826,29457,29268,27682,25375,25281,22611,21584,20740,20436,20237,18347,15322,14857,14213,13203,13045,13245,13163,12507,12454,12119,12514,12558,12459,12225,10854,10334,10983,11598,13080,13826,13071,11532,10763,11359,11169,11105,11646,11406,10810,10612,10672,10461,9674,9673,10632,10050,9583,9366,6527,6260,5696,6318,5451,5522,5354,5345,5340,4979,5432,4841,4481,4303,4501,4329,4117,4056,4484,3793,3504,3813,3691,3366,3298,3172,2828,3154,3584,3665,3756,3843,3083,2577,2199,2129,1813,1487,1268,885,596,425,275,280,184,116,115,68,48,27,27
735454,343351,281137,79211,53383,41789,38048,34400,34146,34661,32449,32167,29558,29261,28042,25226,24857,22841,21639,21462,20454,20390,18070,15439,14902,14420,13139,12885,13202,13178,12404,12447,12146,12197,12657,12282,12143,10776,10617,10920,11735,13012,13927,13253,11482,10773,11587,11162,10806,11497,11339,10649,10583,10883,10416,9736,9710,10579,9981,9685,9411,6534,6165,5575,6353,5415,5506,5338,5517,5351,4881,5281,4911,4389,4370,4358,4301,4013,4155,4469,3807,3473,3718,3720,3409,3324,3178,2974,3203,3472,3813,3696,3792,2983,2544,2234,2075,1837,1512,1286,879,563,441,284,267,196,124,88,64,46,31,26
735574,343110,280224,79269,53657,41919,38108,34646,34441,34567,32403,31775,29699,29096,27707,25243,25001,22940,21761,21204,20443,20361,18160,15439,14853,14371,13356,12983,13334,13302,12358,12343,12064,12237,12661,12275,12198,10818,10513,10923,11722,12722,13539,13162,11525,10846,11634,11369,10674,11510,11423,10735,10816,10884,10343,9879,9828,10710,9887,9633,9349,6628,6342,5601,6123,5638,5632,5404,5403,5327,4898,5360,4874,4485,4377,4318,4398,4176,4071,4436,3669,3489,3692,3777,3439,3353,3131,2862,3097,3589,3685,3700,3816,3010,2560,2292,2126,1843,1469,1208,885,609,428,311,273,190,139,96,51,39,25,27
737101,343535,279949,78959,53687,42113,37954,34252,34417,34608,32634,32093,29669,29511,27698,25286,25265,22819,21527,20899,20436,20163,18408,15239,14821,13946,13107,12867,13315,12934,12547,12399,12085,12311,12706,12448,11822,10547,10634,10886,11745,12971,13638,13361,11539,10882,11325,11218,10683,11632,11167,10733,10505,10857,10530,9955,9623,10885,9838,9501,9261,6558,6337,5481,6244,5343,5524,5432,5499,5395,4866,5385,4988,4467,4375,4353,4279,4027,4253,4418,3812,3461,3721,3842,3416,3310,3327,2941,3124,3525,3699,3661,3806,3001,2617,2211,2051,1892,1586,1220,818,599,410,281,284,194,126,108,85,50,24,25
734808,343986,280752,79619,53866,41470,37878,34714,34628,34211,33035,31730,29831,29589,27821,25345,25131,22681,21498,21035,20221,20240,18085,15401,14745,14179,13261,12859,13432,13176,12418,12664,12175,12172,12766,12411,12074,10716,10339,11004,11579,13041,13904,13228,11432,10726,11243,11185,10871,11383,11355,10506,10521,10787,10618,9710,9977,10810,9898,9754,9177,6607,6223,5671,6258,5405,5500,5334,5386,5294,4795,5229,4859,4524,4411,4423,4209,4081,4156,4272,3767,3552,3804,3702,3414,3388,3151,2907,3091,3698,3752,3747,3770,3085,2551,2366,2101,1938,1592,1265,812,569,417,297,296,172,129,100,63,42,33,18
